Region,Children enrolled in a preschool or preschool program (no.),Estimated resident Aboriginal and Torres Strait Islander population (no.),Estimated resident population (no.),Land area (ha),Median monthly household mortgage payment ($),Median price of established house transfers ($),Median total income (excl. Government pensions and allowances) ($),Median weekly household rental payment ($),Number of jobs,Persons born overseas (no.),Speakers of an Aboriginal or Torres Strait Islander language who identify as Aboriginal and/or Torres Strait Islander (%),Total number of businesses,Total protected land area (ha),Working age population (aged 15-64 years) (%)
Cobblebank - Strathtulloh,2021/32,2021/92,2023/10 248,2021/1 975.9,2021/1 904,2023/636 000,2020/No data available,2021/371,2020/936,2021/3 626,2021/0,2023/960,2022/No data available,2022/66.6
Eynesbury - Exford,2021/91,2021/71,2023/3 427,2021/6 948.9,2021/1 938,2023/680 000,2020/No data available,2021/380,2020/2 670,2021/479,2021/16.1,2023/155,2022/1,2022/63.9
Fraser Rise - Plumpton,2021/93,2021/55,2023/16 420,2021/5 873.1,2021/2 100,2023/666 750,2020/No data available,2021/429,2020/4 165,2021/4 250,2021/0,2023/1 009,2022/13,2022/68.2
Hillside,2021/345,2021/90,2023/16 143,2021/781.7,2021/1 920,2023/782 000,2020/No data available,2021/380,2020/15 382,2021/4 853,2021/0,2023/1 339,2022/22,2022/71.5
Kurunjang - Toolern Vale,2021/200,2021/314,2023/11 914,2021/12 084.4,2021/1 517,2023/525 000,2020/No data available,2021/321,2020/7 877,2021/2 636,2021/0,2023/785,2022/1 024,2022/66
Melton,2021/147,2021/269,2023/8 011,2021/986.1,2021/1 300,2023/470 000,2020/No data available,2021/300,2020/5 777,2021/2 121,2021/0,2023/781,2022/No data available,2022/60.6
Melton South - Weir Views,2021/368,2021/369,2023/20 224,2021/1 102.1,2021/1 517,2023/534 650,2020/No data available,2021/321,2020/10 762,2021/5 758,2021/0,2023/1 112,2022/No data available,2022/62.3
Hoppers Crossing - North,2021/223,2021/198,2023/18 317,2021/1 091.4,2021/1 600,2023/632 500,2020/50 553,2021/341,2020/15 739,2021/6 581,2021/0,2023/2 023,2022/No data available,2022/68.6
Hoppers Crossing - South,,,,,,,,,,,,,,
Laverton,2021/197,2021/96,2023/12 421,2021/2 224.5,2021/2 000,2023/705 000,2020/49 175,2021/380,2020/11 051,2021/6 390,2021/0,2023/2 258,2022/22,2022/74.6
Werribee - South,2021/249,2021/207,2023/17 832,2021/11 403.3,2021/2 000,2023/718 000,2020/54 507,2021/351,2020/12 577,2021/6 175,2021/1.8,2023/2 219,2022/No data available,2022/66.3
Point Cook - East,2021/423,2021/143,2023/20 834,2021/1 903.5,2021/2 200,2023/749 999,2020/56 636,2021/401,2020/14 784,2021/9 913,2021/0,2023/2 093,2022/No data available,2022/66.8
Point Cook - South,2021/568,2021/104,2023/20 237,2021/942.2,2021/2 167,2023/804 000,2020/60 784,2021/410,2020/14 248,2021/11 207,2021/0,2023/1 709,2022/No data available,2022/63.7
Werribee - East,2021/252,2021/379,2023/18 972,2021/775.7,2021/1 500,2023/550 000,2020/48 473,2021/315,2020/14 466,2021/6 793,2021/1,2023/1 109,2022/No data available,2022/65.9
Werribee - West,,,,,,,,,,,,,,
Manor Lakes - Quandong,2021/89,2021/107,2023/12 002,2021/7 203.4,2021/1 930,2023/637 500,2020/No data available,2021/361,2020/3 041,2021/5 698,2021/5.9,2023/835,2022/443,2022/66
Point Cook - North East,,,,,,,,,,,,,,
Point Cook - North West,2021/165,2021/73,2023/9 998,2021/293.8,2021/2 000,2023/765 000,2020/No data available,2021/400,2020/7 092,2021/5 002,2021/12.9,2023/859,2022/No data available,2022/68.7
Tarneit (West) - Mount Cottrell,2021/10,2021/33,2023/15 293,2021/3 670.6,2021/2 000,2023/646 000,2020/No data available,2021/385,2020/328,2021/6 205,2021/0,2023/1 531,2022/25,2022/65.7
Tarneit - Central,2021/849,2021/136,2023/29 321,2021/796.1,2021/1 900,2023/655 000,2020/No data available,2021/380,2020/28 938,2021/15 812,2021/2.7,2023/3 622,2022/No data available,2022/67
Tarneit - North,2021/6,2021/35,2023/11 213,2021/1 434.5,2021/2 065,2023/667 375,2020/No data available,2021/391,2020/200,2021/4 660,2021/0,2023/1 371,2022/No data available,2022/67.6
Tarneit - South,2021/355,2021/58,2023/11 633,2021/313,2021/1 811,2023/630 000,2020/No data available,2021/369,2020/12 106,2021/5 508,2021/0,2023/1 138,2022/No data available,2022/65.8
Truganina - North,2021/No data available,2021/170,2023/13 025,2021/1 751.9,2021/2 167,2023/690 000,2020/No data available,2021/402,2020/24,2021/5 617,2021/0,2023/1 957,2022/No data available,2022/71.3
Truganina - South East,2021/253,2021/26,2023/10 443,2021/426.8,2021/2 000,2023/700 000,2020/No data available,2021/395,2020/7 257,2021/5 860,2021/0,2023/1 403,2022/20,2022/68.4
Truganina - South West,2021/728,2021/71,2023/19 938,2021/537.8,2021/1 893,2023/650 000,2020/No data available,2021/377,2020/20 918,2021/10 576,2021/0,2023/2 560,2022/No data available,2022/64.7
Wyndham Vale - North,2021/148,2021/180,2023/11 899,2021/5 125,2021/1 800,2023/595 000,2020/No data available,2021/350,2020/5 091,2021/4 056,2021/0,2023/699,2022/567,2022/68.9
Wyndham Vale - South,2021/463,2021/302,2023/13 888,2021/495.8,2021/1 668,2023/550 000,2020/No data available,2021/336,2020/15 883,2021/4 804,2021/0,2023/702,2022/No data available,2022/66.5
Carrum Downs,2021/376,2021/437,2023/22 892,2021/2 030.8,2021/1 733,2023/695 000,2020/53 793,2021/370,2020/17 892,2021/5 424,2021/0,2023/2 522,2022/98,2022/67.8
Frankston,2021/353,2021/435,2023/24 164,2021/1 162.4,2021/1 733,2023/772 500,2020/50 097,2021/335,2020/18 453,2021/5 423,2021/1,2023/2 069,2022/10,2022/66.5
Frankston North,2021/295,2021/526,2023/19 757,2021/1 323.8,2021/1 597,2023/644 000,2020/48 248,2021/341,2020/13 736,2021/4 062,2021/0,2023/905,2022/108,2022/64.5
Frankston South,2021/283,2021/156,2023/19 156,2021/1 456,2021/2 167,2023/1 158 000,2020/53 597,2021/420,2020/14 393,2021/4 063,2021/0,2023/1 575,2022/91,2022/58.9
Langwarrin,2021/416,2021/268,2023/25 563,2021/3 762,2021/1 900,2023/820 000,2020/55 580,2021/365,2020/20 137,2021/3 990,2021/0,2023/1 812,2022/234,2022/64.8
Seaford (Vic.),2021/307,2021/310,2023/17 764,2021/1 243.2,2021/1 850,2023/830 000,2020/53 665,2021/351,2020/13 446,2021/3 398,2021/4,2023/1 666,2022/21,2022/64.9
Skye - Sandhurst,2021/246,2021/158,2023/13 530,2021/1 981.5,2021/2 000,2023/865 000,2020/56 506,2021/450,2020/11 098,2021/3 347,2021/0,2023/931,2022/2,2022/66.8
Dromana,2021/142,2021/140,2023/13 574,2021/4 505.8,2021/1 950,2023/1 150 000,2020/45 157,2021/405,2020/8 894,2021/2 530,2021/2.7,2023/1 346,2022/369,2022/56
Flinders,2021/52,2021/43,2023/6 015,2021/28 737.9,2021/2 244,2023/1 955 000,2020/49 267,2021/424,2020/4 313,2021/849,2021/0,2023/1 106,2022/3 379,2022/53.3
Hastings - Somers,2021/359,2021/618,2023/23 973,2021/10 888.4,2021/1 733,2023/820 000,2020/48 896,2021/330,2020/16 833,2021/3 588,2021/1.3,2023/1 756,2022/146,2022/59.5
Mount Eliza,2021/291,2021/106,2023/18 878,2021/2 320.8,2021/2 600,2023/1 675 000,2020/57 975,2021/512,2020/13 813,2021/4 169,2021/0,2023/2 110,2022/No data available,2022/57.1
Mount Martha,2021/290,2021/137,2023/20 087,2021/3 020.9,2021/2 167,2023/1 572 500,2020/52 230,2021/496,2020/14 544,2021/3 987,2021/0,2023/1 848,2022/77,2022/56.8
Point Nepean,2021/199,2021/243,2023/19 947,2021/6 718.8,2021/1 888,2023/1 325 000,2020/42 617,2021/376,2020/12 938,2021/2 846,2021/0,2023/2 081,2022/1 216,2022/53.6
Rosebud - McCrae,2021/286,2021/412,2023/23 108,2021/2 379.6,2021/1 733,2023/825 000,2020/41 760,2021/350,2020/14 489,2021/3 634,2021/0,2023/1 670,2022/271,2022/52.7
Somerville,2021/255,2021/215,2023/18 809,2021/11 735.4,2021/1 800,2023/770 000,2020/51 734,2021/380,2020/15 033,2021/2 729,2021/2.9,2023/2 115,2022/131,2022/63
Mornington - East,2021/183,2021/185,2023/15 075,2021/1 468.8,2021/2 000,2023/937 500,2020/No data available,2021/400,2020/10 860,2021/3 142,2021/0,2023/1 690,2022/4,2022/56.9
Mornington - West,2021/120,2021/60,2023/10 777,2021/640.4,2021/2 100,2023/1 490 000,2020/No data available,2021/410,2020/7 161,2021/2 316,2021/0,2023/1 349,2022/8,2022/50.2
Ararat,2021/112,2021/219,2023/8 339,2021/16 117.9,2021/1 083,2023/380 000,2020/46 330,2021/250,2020/5 878,2021/1 035,2021/2.6,2023/502,2022/81,2022/61.1
Ararat Surrounds,2021/44,2021/49,2023/3 162,2021/402 319.8,2021/1 083,2023/235 000,2020/47 026,2021/151,2020/2 885,2021/287,2021/0,2023/626,2022/43 536,2022/57.9
Horsham,2021/263,2021/393,2023/16 876,2021/8 306.9,2021/1 203,2023/392 500,2020/49 317,2021/245,2020/13 562,2021/1 257,2021/0,2023/1 436,2022/29,2022/59.6
Horsham Surrounds,2021/37,2021/29,2023/3 467,2021/425 146.7,2021/1 134,2023/280 000,2020/50 726,2021/185,2020/3 448,2021/194,2021/0,2023/716,2022/37 628,2022/63.8
Nhill Region,2021/48,2021/122,2023/6 796,2021/1 104 279.3,2021/737,2023/200 000,2020/49 436,2021/170,2020/5 648,2021/674,2021/0,2023/997,2022/348 658,2022/56.8
St Arnaud,2021/28,2021/81,2023/3 435,2021/300 857.5,2021/867,2023/275 000,2020/43 038,2021/182,2020/2 740,2021/208,2021/0,2023/455,2022/25 945,2022/55.3
Stawell,2021/85,2021/190,2023/8 459,2021/274 343.1,2021/1 010,2023/360 000,2020/46 736,2021/214,2020/6 492,2021/884,2021/0,2023/741,2022/78 601,2022/59.2
West Wimmera,2021/42,2021/40,2023/2 715,2021/568 638.7,2021/758,2023/245 000,2020/46 649,2021/150,2020/2 682,2021/195,2021/0,2023/554,2022/85 742,2022/54.9
Yarriambiack,2021/65,2021/128,2023/6 327,2021/713 958.2,2021/672,2023/200 000,2020/50 474,2021/166,2020/5 086,2021/436,2021/0,2023/930,2022/62 392,2022/55.3
Irymple,2021/135,2021/224,2023/7 876,2021/8 857.3,2021/1 473,2023/540 000,2020/48 543,2021/250,2020/6 116,2021/657,2021/0,2023/870,2022/1 646,2022/62.7
Merbein,2021/73,2021/289,2023/4 943,2021/10 171.4,2021/1 140,2023/345 000,2020/46 266,2021/220,2020/3 959,2021/301,2021/0,2023/419,2022/1 110,2022/59.8
Mildura Surrounds,2021/50,2021/105,2023/3 759,2021/2 156 879.6,2021/900,2023/220 000,2020/41 420,2021/150,2020/3 171,2021/290,2021/0,2023/539,2022/1 043 166,2022/59.5
Red Cliffs,2021/89,2021/300,2023/6 065,2021/24 672.3,2021/1 083,2023/331 500,2020/42 808,2021/240,2020/5 672,2021/568,2021/0,2023/539,2022/3 428,2022/63.4
Mildura - North,2021/302,2021/1 469,2023/18 229,2021/2 511.7,2021/1 148,2023/395 000,2020/42 156,2021/260,2020/16 357,2021/3 027,2021/1.3,2023/1 964,2022/10,2022/62.9
Mildura - South,2021/295,2021/868,2023/16 682,2021/5 099.8,2021/1 334,2023/492 500,2020/47 345,2021/300,2020/14 408,2021/2 915,2021/2.2,2023/984,2022/77,2022/61.4
Buloke,2021/40,2021/112,2023/6 044,2021/806 868.5,2021/734,2023/219 000,2020/43 604,2021/158,2020/5 035,2021/397,2021/3.4,2023/995,2022/18 718,2022/56.4
Gannawarra,2021/75,2021/144,2023/6 559,2021/356 832.5,2021/997,2023/280 000,2020/41 794,2021/180,2020/5 033,2021/366,2021/0,2023/967,2022/29 144,2022/54.4
Kerang,2021/54,2021/178,2023/3 856,2021/14 660.8,2021/1 000,2023/270 000,2020/42 710,2021/200,2020/2 655,2021/227,2021/0,2023/368,2022/1 178,2022/52.8
Robinvale,2021/57,2021/370,2023/3 753,2021/18 159.6,2021/1 040,2023/330 000,2020/35 390,2021/220,2020/3 957,2021/1 411,2021/6.1,2023/424,2022/3 838,2022/66.9
Swan Hill,2021/211,2021/581,2023/10 948,2021/12 659,2021/1 300,2023/448 000,2020/47 677,2021/235,2020/9 244,2021/1 467,2021/3.6,2023/1 382,2022/26,2022/59.3
Swan Hill Surrounds,2021/89,2021/280,2023/6 512,2021/575 957.9,2021/966,2023/280 000,2020/43 685,2021/180,2020/5 851,2021/687,2021/0,2023/861,2022/29 163,2022/62.5
Echuca,2021/229,2021/774,2023/15 585,2021/18 395.3,2021/1 483,2023/580 000,2020/47 359,2021/285,2020/12 600,2021/1 288,2021/2.8,2023/1 768,2022/331,2022/58.5
Kyabram,2021/171,2021/327,2023/10 952,2021/73 886.2,2021/1 235,2023/405 000,2020/44 447,2021/210,2020/8 462,2021/857,2021/0,2023/1 220,2022/1 985,2022/56.8
Lockington - Gunbower,2021/55,2021/90,2023/3 944,2021/164 643.8,2021/1 320,2023/324 500,2020/43 852,2021/200,2020/3 216,2021/203,2021/0,2023/588,2022/8 291,2022/61.2
Rochester,2021/59,2021/101,2023/3 792,2021/35 164.5,2021/1 122,2023/362 500,2020/42 969,2021/213,2020/2 982,2021/220,2021/0,2023/442,2022/62,2022/55.7
Rushworth,2021/46,2021/119,2023/4 187,2021/163 388.6,2021/1 023,2023/260 000,2020/39 808,2021/200,2020/3 002,2021/386,2021/0,2023/482,2022/6 476,2022/57.2
Cobram,2021/106,2021/167,2023/6 662,2021/13 172.3,2021/1 278,2023/425 000,2020/43 108,2021/250,2020/4 699,2021/1 067,2021/5.4,2023/675,2022/191,2022/54.7
Moira,2021/38,2021/90,2023/2 834,2021/149 882.8,2021/1 213,2023/680 000,2020/42 266,2021/210,2020/2 358,2021/228,2021/0,2023/418,2022/4 236,2022/60.8
Numurkah,2021/144,2021/410,2023/12 467,2021/232 067.2,2021/1 172,2023/350 000,2020/44 256,2021/210,2020/9 865,2021/982,2021/0,2023/1 481,2022/35 411,2022/59.2
Yarrawonga,2021/119,2021/124,2023/8 812,2021/9 469.7,2021/1 430,2023/630 000,2020/43 654,2021/290,2020/5 587,2021/738,2021/2.9,2023/719,2022/No data available,2022/50.9
Mooroopna,2021/110,2021/800,2023/8 110,2021/3 997.3,2021/1 148,2023/390 000,2020/45 846,2021/250,2020/6 064,2021/940,2021/2.4,2023/411,2022/996,2022/59.8
Shepparton - North,2021/305,2021/946,2023/20 157,2021/6 565.8,2021/1 369,2023/475 000,2020/50 636,2021/270,2020/15 683,2021/3 740,2021/2.6,2023/2 253,2022/485,2022/62.7
Shepparton Surrounds - East,2021/52,2021/97,2023/4 061,2021/105 557.8,2021/1 300,2023/462 500,2020/44 524,2021/236,2020/3 575,2021/329,2021/0,2023/699,2022/2 260,2022/64.2
Shepparton Surrounds - West,2021/125,2021/343,2023/10 394,2021/102 867.9,2021/1 300,2023/455 000,2020/45 328,2021/240,2020/8 481,2021/1 069,2021/1.6,2023/1 268,2022/5 886,2022/61.9
Kialla,2021/132,2021/202,2023/9 733,2021/7 744.4,2021/1 625,2023/665 400,2020/No data available,2021/380,2020/5 961,2021/1 514,2021/2.9,2023/890,2022/256,2022/60.7
Shepparton - South East,2021/291,2021/997,2023/16 494,2021/6 583.1,2021/1 166,2023/410 000,2020/No data available,2021/270,2020/13 126,2021/4 243,2021/2.9,2023/1 603,2022/91,2022/60.2
Glenelg (Vic.),2021/95,2021/304,2023/8 839,2021/612 142.6,2021/1 073,2023/320 000,2020/44 969,2021/180,2020/7 649,2021/712,2021/0,2023/1 231,2022/79 912,2022/57.6
Hamilton (Vic.),2021/124,2021/302,2023/10 310,2021/19 833.7,2021/1 083,2023/359 000,2020/46 493,2021/235,2020/8 569,2021/818,2021/0,2023/904,2022/4,2022/57.2
Portland,2021/127,2021/397,2023/11 181,2021/6 398.5,2021/1 105,2023/445 000,2020/47 953,2021/250,2020/8 373,2021/1 046,2021/1.8,2023/731,2022/11,2022/59
Southern Grampians,2021/79,2021/152,2023/6 213,2021/656 264.4,2021/931,2023/270 000,2020/43 994,2021/170,2020/6 206,2021/457,2021/3.1,2023/1 230,2022/71 159,2022/57.4
Camperdown,2021/45,2021/33,2023/3 410,2021/9 811.8,2021/1 134,2023/445 000,2020/47 411,2021/240,2020/2 578,2021/240,2021/0,2023/376,2022/No data available,2022/54.6
Colac,2021/185,2021/219,2023/12 640,2021/5 473.4,2021/1 300,2023/500 000,2020/48 073,2021/260,2020/9 856,2021/1 263,2021/0,2023/977,2022/No data available,2022/58.6
Colac Surrounds,2021/100,2021/66,2023/5 665,2021/193 427.6,2021/1 400,2023/562 500,2020/43 952,2021/250,2020/5 128,2021/406,2021/5.3,2023/960,2022/9 862,2022/60.4
Corangamite - North,2021/69,2021/83,2023/5 322,2021/253 832.9,2021/1 000,2023/370 000,2020/47 819,2021/200,2020/4 545,2021/371,2021/0,2023/797,2022/1 839,2022/58.5
Corangamite - South,2021/123,2021/113,2023/7 164,2021/180 520.8,2021/1 200,2023/423 000,2020/43 565,2021/231,2020/6 509,2021/576,2021/0,2023/1 155,2022/13 874,2022/60.7
Otway,2021/49,2021/81,2023/3 983,2021/150 589,2021/1 387,2023/980 000,2020/36 510,2021/285,2020/3 326,2021/631,2021/0,2023/540,2022/68 501,2022/59.2
Moyne - East,2021/119,2021/162,2023/7 132,2021/327 579.9,2021/1 300,2023/347 000,2020/47 120,2021/200,2020/6 201,2021/486,2021/0,2023/1 203,2022/3 987,2022/61.8
Moyne - West,2021/126,2021/187,2023/10 148,2021/203 776.3,2021/1 517,2023/730 000,2020/46 843,2021/280,2020/8 420,2021/777,2021/0,2023/1 303,2022/7 756,2022/57.3
Warrnambool - North,2021/363,2021/568,2023/22 762,2021/6 242,2021/1 451,2023/605 000,2020/50 654,2021/300,2020/18 440,2021/1 960,2021/2.4,2023/1 292,2022/No data available,2022/61.8
Warrnambool - South,2021/192,2021/273,2023/13 476,2021/12 019.6,2021/1 387,2023/620 000,2020/49 080,2021/287,2020/11 144,2021/1 437,2021/1.8,2023/1 688,2022/118,2022/60.6
